98,20,92,11,70,86
99,73,7,24,64,67
100,77,21,22,38,14
101,26,50,66,1,75
102,24,71,98,1,49
103,39,41,94,87,26
104,5,70,88,26,9
105,33,97,30,67,9
106,23,15,33,24,59
107,15,9,65,26,97
108,79,70,58,28,67
109,27,79,86,55,25
110,48,2,75,25,64
111,15,77,70,70,50
112,45,18,20,52,56
113,24,68,77,76,20
114,93,62,6,23,17
115,97,19,30,65,67
116,39,64,70,67,69
117,36,72,66,50,15
118,28,72,36,59,22
119,39,26,62,84,70
120,89,52,38,95,7
121,48,10,95,47,41
122,65,37,25,44,18
123,25,97,25,0,6
124,7,83,34,47,31
125,93,78,29,55,35
126,81,89,87,30,96
127,5,85,39,39,22
128,33,65,4,96,63
129,97,8,57,26,6
130,73,78,30,84,95
131,55,84,48,36,51
132,99,77,78,10,72
133,37,14,33,44,77
134,100,48,38,64,32
135,52,100,86,40,38
136,70,53,80,13,100
137,99,96,69,73,91
138,7,57,76,87,94
139,1,91,30,36,77
140,5,41,68,50,80
141,95,38,68,14,17
142,30,6,76,2,5
143,82,64,53,97,55
144,38,67,76,19,67
145,0,12,74,47,67
146,99,15,80,7,11
147,42,30,40,64,25
148,70,47,100,94,85
149,67,68,68,92,75
150,18,7,87,10,6
151,36,75,35,95,55
152,37,36,81,73,78
153,60,20,49,92,43
154,91,72,26,12,46
155,51,99,4,35,8
156,35,91,25,82,52
157,38,52,33,65,26
158,36,16,25,91,83
159,77,7,82,84,22
160,19,54,57,48,36
161,73,51,81,69,1
162,67,40,28,20,1
163,49,84,94,85,36
164,11,53,98,64,5
165,66,91,40,55,29
166,25,59,71,76,41
167,26,4,87,66,99
168,27,96,51,5,68
169,86,67,48,94,71
170,91,90,69,95,34
171,20,82,82,7,71
172,90,99,61,30,67
173,77,94,65,63,89
174,82,13,35,90,7
175,74,19,38,98,36
176,79,98,50,21,68
177,66,6,98,39,86
178,21,55,99,3,82
179,19,60,56,43,49
180,94,60,13,62,32
181,94,9,11,31,64
182,91,79,23,14,90
183,35,31,42,93,77
184,16,38,8,98,31
185,82,99,83,59,25
186,60,34,13,87,3
187,83,7,17,92,82
188,5,36,46,24,1
189,47,14,71,66,61
190,20,13,78,95,91
191,59,59,45,14,67
192,95,9,54,27,52
193,38,75,83,10,13
194,78,84,60,89,38
195,83,32,77,78,65
196,41,61,42,50,25
197,17,54,88,67,37
198,77,100,27,18,73
199,34,83,32,21,16
200,22,83,99,47,14
201,70,22,83,61,82
202,55,5,49,96,16
203,9,76,96,8,43
204,23,17,14,31,93
205,98,26,42,15,6
206,30,35,46,79,57
207,29,40,47,60,39
208,26,38,69,22,23
209,11,85,15,1,6
210,36,93,51,11,96
211,2,68,98,50,32
212,12,79,71,14,97
213,15,52,44,92,51
214,52,38,53,67,17
215,90,97,10,67,34
216,78,16,19,83,35
